"task","quantity","method","rate","mean_int","coverage","rmse","bias","width","nrep"
"cr","CIF[2]","oracle",0.6,2.69820639974578,0.95,0.0120473569213961,0.000308224671965789,0.0435834280564764,600
"cr","CIF[2]","oracle",1.5,1.24674171034852,0.928333333333333,0.0125359955173457,-0.000927045489459815,0.0430771873942754,600
"cr","beta[1]","MI",0.3,4.04789756112139,0.966666666666667,0.154309673075838,0.00887927433106699,0.613713672559038,120
"cr","beta[1]","MI",0.6,2.69820639974578,0.941666666666667,0.148785180347886,-0.0126431524840339,0.565545427025406,120
"cr","beta[1]","MI",1.5,1.24674171034852,0.958333333333333,0.144559919874431,-0.00613746205466033,0.548407547802559,120
"cr","beta[1]","midpoint",0.3,4.04789756112139,0.958333333333333,0.154088040428805,0.00557579643454322,0.609150998085498,120
"cr","beta[1]","midpoint",0.6,2.69820639974578,0.941666666666667,0.148703068476373,-0.0165016420875632,0.562837113375451,120
"cr","beta[1]","midpoint",1.5,1.24674171034852,0.95,0.14420626035843,-0.00687493742067062,0.547754435468638,120
"cr","beta[1]","oracle",0.3,4.04789756112139,0.958333333333333,0.133131143073915,0.0063626453350418,0.544888976787303,120
"cr","beta[1]","oracle",0.6,2.69820639974578,0.958333333333333,0.137620484850467,-0.0156453840660081,0.541008785265589,120
"cr","beta[1]","oracle",1.5,1.24674171034852,0.958333333333333,0.143598519644932,-0.00879934419646953,0.541059137398943,120
"cr","beta[2]","MI",0.3,4.04789756112139,0.966666666666667,0.193997256810976,-0.0210561637285139,0.792614153051845,120
"cr","beta[2]","MI",0.6,2.69820639974578,0.975,0.164232260306441,-0.0117445451894169,0.706737049946915,120
"cr","beta[2]","MI",1.5,1.24674171034852,0.891666666666667,0.208064740076002,-0.0236879426196363,0.672600148045068,120
"cr","beta[2]","midpoint",0.3,4.04789756112139,0.966666666666667,0.193058330953443,-0.0241960161053917,0.789274009895819,120
"cr","beta[2]","midpoint",0.6,2.69820639974578,0.975,0.163965525517701,-0.0147674977555702,0.704869065821655,120
"cr","beta[2]","midpoint",1.5,1.24674171034852,0.9,0.208056832000531,-0.0243167277559606,0.672178617210004,120
"cr","beta[2]","oracle",0.3,4.04789756112139,0.983333333333333,0.14556160905737,-0.00640823153213687,0.646828860915328,120
"cr","beta[2]","oracle",0.6,2.69820639974578,0.958333333333333,0.148234469414334,-0.0067716215586033,0.639632241157712,120
"cr","beta[2]","oracle",1.5,1.24674171034852,0.916666666666667,0.197382723267396,-0.021471485578513,0.647941224621528,120
"single","S(t)","MI",0.3,4.16067719518653,0.926666666666667,0.0302153604349756,0.0182366387061762,0.0938917583606,600
"single","S(t)","MI",0.6,2.74785013453538,0.931666666666667,0.0237372228540437,0.0017403740151063,0.0904343779002986,600
"single","S(t)","MI",1.5,1.28086550729845,0.92,0.0233608517363105,-0.00104667032061587,0.0862396486920726,600
"single","S(t)","midpoint",0.3,4.16067719518653,0.75,0.03647309936759,0.028756104551797,0.0807719166090223,600
"single","S(t)","midpoint",0.6,2.74785013453538,0.918333333333333,0.024180346185768,0.00737675801250576,0.0824410409601839,600
"single","S(t)","midpoint",1.5,1.28086550729845,0.923333333333333,0.0231357945732926,-0.00079205590643225,0.0833153825028448,600
"single","S(t)","oracle",0.3,4.16067719518653,0.95,0.0203450397364795,-0.000135349695702209,0.0836713360559723,600
"single","S(t)","oracle",0.6,2.74785013453538,0.941666666666667,0.0217837739814309,0.000903586357053798,0.0836877541674192,600
"single","S(t)","oracle",1.5,1.28086550729845,0.925,0.022666599031931,-0.000874659375152458,0.0833490683637634,600
"single","beta[x]","MI",0.3,4.16067719518653,0.933333333333333,0.167182741415651,0.0341983537005463,0.633644834058244,120
"single","beta[x]","MI",0.6,2.74785013453538,0.933333333333333,0.1559781379594,-0.00975858758285452,0.584769634096934,120
"single","beta[x]","MI",1.5,1.28086550729845,0.983333333333333,0.126084916603516,-0.0120214883202883,0.56590964803089,120
"single","beta[x]","midpoint",0.3,4.16067719518653,0.95,0.160431232890963,0.0278222423895717,0.627579682457872,120
"single","beta[x]","midpoint",0.6,2.74785013453538,0.941666666666667,0.153700699795321,-0.0133180029339706,0.581126665077774,120
"single","beta[x]","midpoint",1.5,1.28086550729845,0.983333333333333,0.126490492731209,-0.0136280541654818,0.564733769459994,120
"single","beta[x]","oracle",0.3,4.16067719518653,0.933333333333333,0.146650113640336,0.00741665448083141,0.562537376464383,120
"single","beta[x]","oracle",0.6,2.74785013453538,0.941666666666667,0.144169930867006,-0.0173582745702464,0.558100937235649,120
"single","beta[x]","oracle",1.5,1.28086550729845,0.991666666666667,0.128033510766194,-0.0113173149121953,0.558288450596961,120
